242|Let's meet your baby! : An emotional approach of the ultrasound scan.|&#13;|August 28, 2012|luz alba gallo|Ministry of Health|http://www.hcdconnect.org/profiles/luz alba-gallo/|Sao Paulo - So Paulo, Brazil|Education;Health
243|HEAR-ing from input and technology suppliers that service small farmers in Nicaragua|Using the Hear section of the HCD toolkit and also a basic prototype, we went to Nicaragua to hear from input and technology suppliers participating in MEDA's Techno-Links program.|August 28, 2012|Zacharia Jama|Mennonite Economic Development Associates (MEDA)|http://www.hcdconnect.org/profiles/zacharia-jama/|Jamaica|Agriculture
244|Revolutionizing Our Approach to Nutrition|Providing a new approach to nutrition and the education necessary to prevent diabetes and heart disease throughout the US.http://truthbetoldcreative.com/2012/08/plant-strong/|August 28, 2012|Ken Fisher|Truth Be Told Creative|http://www.hcdconnect.org/profiles/ken-fisher/|Berkeley, CA|Environment;Agriculture;Education;Health
245|Stopping the Cycle of Poverty in Tulsa, Oklahoma|Suzanne Boutilier and her IDEO.org project team kick off a new projectdesigning innovative approaches to engage low-income parents and children in Tulsa, Oklahoma.|August 28, 2012|Suzanne Boutilier|IDEO.org|http://www.hcdconnect.org/profiles/suzanne/|Tulsa, OK|Community Development;Education
246|Improving Health Education for High School Students, One College Campus at a Time|IDEO.org Fellow Danny Alexander breaks down our newest IDEO.org project and explains why he's been spending a lot of time on college campuses over the last few weeks.|August 29, 2012|Danny Alexander|IDEO.org|http://www.hcdconnect.org/profiles/danny/|Los Angeles, CA|Education;Health
247|Foreign Domestic Worker in Singapore|Working with high school students, we create 3 short documentaries to raise awareness about the commodification of the FDWs (Foreign Domestic Workers) and come up with prototype to better the issue.|August 29, 2012|Mike Phulsuksombati|SEALNet, Inc.|http://www.hcdconnect.org/profiles/mike-phulsuksombati/|Hanoi, Vietnam|Community Development;Education;Gender Equity
248|Participatory Monitoring &amp; Evaluation as a learning tool|&#13;|August 31, 2012|Mara Jos Restrepo Rodrguez|SEALNet, Inc.|http://www.hcdconnect.org/profiles/maria-restrepo/|Gauteng, South Africa|Community Development;Education;Agriculture
249|A Visit with an Extreme User|Carla Lopez and her d.light team pay a visit to an extreme user of solar energy as part of their field research in the Bay Area before departing for India and Africa this week.|September 04, 2012|Carla Lopez|IDEO.org|http://www.hcdconnect.org/profiles/carla-lopez/|Palo Alto, CA|Environment;Community Development;Energy
250|Raising Kids in Poverty in America|IDEO.org Fellow Cris Valerio tells the story of some of the families her IDEO.org is meeting as part of the hear research they're conducting in Tulsa, Oklahoma.|September 07, 2012|Cris Valerio|IDEO.org|http://www.hcdconnect.org/profiles/cris-valerio/|Tulsa, OK|Community Development;Education;Financial Services
251|The Humans at the Center|By definition, people are at the core of human-centered design process. But how do we find the right people to talk to as part of our research?IDEO.org Fellow Danny Alexander considers this question and more as his PHE team continues their Hear research in California.|September 10, 2012|Danny Alexander|IDEO.org|http://www.hcdconnect.org/profiles/danny/|Berkeley, CA|Education
252|Hopscotch Detroit|Hopscoth Detroit is a 4 mile, world recording break course, through the city of Detroit that engages community through art and play.|September 15, 2012|Laura Willming|IDEO.org|http://www.hcdconnect.org/profiles/laura-willming/|Jamaica|Community Development
253|Conducting Field Research in Bihar State|Carla Lopez files an update from Bihar state in India where her IDEO.org d.light team has just arrived and is conducting human-centered design hear research in both rural and urban communities.|September 18, 2012|Carla Lopez|IDEO.org|http://www.hcdconnect.org/profiles/carla-lopez/|Palo Alto, CA|Energy
254|Finding Patterns in the Volunteer Experience|Entering the synthesis stage of their human-centered design project, IDEO.org's Molly Norris explains how a key part of the team's research thus far has been about activating the client's latent organizational wisdom.|September 21, 2012|Molly Norris|IDEO.org|http://www.hcdconnect.org/profiles/molly-norris/|Berkeley, CA|Education
255|Creating Resilient Girls: an After-School Program|We will support girls under high social risk to thrive despite their adversities in the city of Avar, near So Paulo.|September 23, 2012|Julia Benini|IDEO.org|http://www.hcdconnect.org/profiles/julia-benini/|Sao Paulo - So Paulo, Brazil|Gender Equity;Education;Community Development
256|It Takes a Village|Jessie Chamberlin, the IDEO.org project coordinator for our d.light team, provides a glimpse into the sometimes daunting task of coordinating human-centered design research on the other side of the world.|September 26, 2012|Jessie Chamberlin|IDEO.org|http://www.hcdconnect.org/profiles/jessiezc/|Palo Alto, CA|Energy
257|Social interaction in public busses|What if a trip on the bus didn't have to be lonely? What if the 10-minute commute could be the best part of the day? In our projekt we're trying to make the daily commute on the bus a more social and immersive experience.|September 27, 2012|Tobias Wilhelmsen|IDEO.org|http://www.hcdconnect.org/profiles/tobias-wilhelmsen/|Wolverton, United Kingdom|Community Development;Agriculture;Gender Equity
258|Integration not separation, Thailand-Burma.|Collective action to provide financial access to Burmese migrant workers in Thailand|September 29, 2012|Viria Vichit-Vadakan|IDEO.org|http://www.hcdconnect.org/profiles/viria-vichit-vadakan/|Cape Town, Western Cape, South Africa|Community Development;Education;Financial Services
259|"Searching for the ""yes... and"" approach to poverty alleviation and conservation."|An intro into our journey in exploring inherent tensions between biodiversity conservation and poverty alleviation in the Peruvian Amazon.|September 30, 2012|Nancy Zamierowski|IDEO.org|http://www.hcdconnect.org/profiles/nancy-zamierowski/|Madre de Dios, Peru|Environment;Community Development;Agriculture
260|Gaining insight and empathy beyond the formal setting|Niki and I continue to explore the connection between the challenges of STEM teacher recruitment and retention, the failure of students to master basic STEM skills, and the corporate trend toward meaningful employee volunteerism. We find it intriguing that while schools lose to the corporate sector in the competition for STEM talent, socially-minded corporations continue to encourage volunteer opportunities with area schools - often during work time.|October 01, 2012|Michael Kellerman|LBJ School of Public Affairs, University of Texas at Austin|http://www.hcdconnect.org/profiles/michaelkellerman/|Ann Richards School, Austin, TX|Education
261|In Search for In-Context Clues from Rural and Peri-urban Communities in Nicaragua|&#13;|October 01, 2012|Jeannette Rowland|Fabretto Children's Foundation|http://www.hcdconnect.org/profiles/jeannette/|Managua, Nicaragua|Education;Agriculture
262|Improving the healthcare experience for the uninsured|Large scale free health clinics provide annual healthcare access for thousands in the U.S. Yet, occuring in spaces meant for other uses means there's much room for improvement. How might we improve the patient experience at these clinics?|October 01, 2012|Liz Ogbu|California College of the Arts - Center for Art and Public Life|http://www.hcdconnect.org/profiles/liz/|LA|Health
263|"Three emergent themes from ""HEAR"" phase 1"|"The purpose of this blog is to share with you three emergent themes from the first ""HEAR"" stage from 2010 - present, along with stories, key insights and questions. The questions often served as guides illuminating the path to the next story or adventure."|October 01, 2012|Nancy Zamierowski|California College of the Arts - Center for Art and Public Life|http://www.hcdconnect.org/profiles/nancy-zamierowski/|Madre de Dios, Peru|Environment;Community Development;Agriculture
264|Starting the hear phase with group teacher interviews|My project partner Niki and I are in the early stages of discovery relating to the challenges of recruiting and retaining talented Science, Technology, Engineering and Math (STEM) teachers in US school systems. We are working to gain insight into the real-life problems facing schools, and to explore innovative ways skilled corporate volunteers might help solve the problem of teacher recruitment and retention.|October 01, 2012|Michael Kellerman|LBJ School of Public Affairs, University of Texas at Austin|http://www.hcdconnect.org/profiles/michaelkellerman/|Austin, TX|Education
265|The three year Design Challenge identification|Here is the story of how I discovered a design challenge in India unexpectedly.|October 01, 2012|Melissa Rohde|Stanford University|http://www.hcdconnect.org/profiles/melissa-rohde/|Palo Alto, CA|Water;Community Development;Agriculture;Environment
266|Condom use in youth|How to break the silence about condom use between young people!|October 02, 2012|Anna-Cathrine Willaume Andersen|Stanford University|http://www.hcdconnect.org/profiles/anna-cathrine-willaume andersen/|Roskilde University, Universitetsvej, Roskilde, Denmark|Education;Health
267|Smutti the fab lab|Smutti the camping wagon needed a makeover to make it a great work environment for brainstorming and prototyping.|October 04, 2012|Andrea Duelund|Roskilde university|http://www.hcdconnect.org/profiles/andrea-duelund/|United Kingdom|Environment;Education
268|Intelligent pill dispenser|"""Take a chill we'll remember your pill"""|October 04, 2012|Christian Michelsen|Roskilde university|http://www.hcdconnect.org/profiles/christian-michelsen/|Oslo, Norway|Health
269|Protecting the sacred core curriculum: are we?|My project  partner NIki and I continue to explore ways to respond to the Secondary STEM  teacher recruitment and retention crisis in our schools. Our students  are falling way behind in STEM subjects, just as  our economy produces high demand for problem solvers and STEM  professionals. What's emerged from our hear phase is an idea that would disrupt this trend and  re-think the teacher recruitment pool.|October 04, 2012|Michael Kellerman|LBJ School of Public Affairs, University of Texas at Austin|http://www.hcdconnect.org/profiles/michaelkellerman/|Austin, TX|Education
270|Am I a Designer?|A global research project on the impact of social entrepreneurship and human centered design on poverty reduction.|October 10, 2012|Jeroen Spoelstra|Amsterdam University of Applied Sciences|http://www.hcdconnect.org/profiles/581782559/|Kisumu, Kenya|Environment;Community Development;Energy;Education;Agriculture
271|"Painting the Context: ""Amor Por Tierra"""|Before moving North, our design team visits peri-urban schools around Managua to paint the context of school gardens in Nicaragua, and understand different perceptions of food security and nutrition.|October 11, 2012|Jeannette Rowland|Fabretto Children's Foundation|http://www.hcdconnect.org/profiles/jeannette/|San Jos de Cusmapa, Madriz, Nicaragua|Education;Agriculture
272|Linking small-scale suppliers to small-batch makers|Read interview highlights that led us to a key customer insight and the current focus of our business model: a trading platform to link small-batch product makers with smallholder suppliers and primary producers initially in the Peruvian Amazon and ultimately globally.|October 15, 2012|Nancy Zamierowski|Fabretto Children's Foundation|http://www.hcdconnect.org/profiles/nancy-zamierowski/|Madre de Dios, Peru|Environment;Community Development;Agriculture
273|A Journo's Perspective on Human-Centered Design|IDEO.org Fellow Cris Valerio - a journalist by training - reports on her first journey through the human-centered design process. She wrote this story just before her IDEO.org CAP team departed for prototype testing in Tulsa.|October 17, 2012|Cris Valerio|IDEO.org|http://www.hcdconnect.org/profiles/cris-valerio/|Tulsa, OK|Community Development;Education
274|A safer cooking experience for seniors. Part 2, Create and Deliver.|How can we prevent accidental burnings on old electric stoves.|October 20, 2012|Kayvan Mojtahedzadeh|SFSU-DAI department|http://www.hcdconnect.org/profiles/k1mj/|San Francisco, CA|Health
275|SamaKEY|"Samakey means ""collective action""- aims to build future leaders in the field of international development."|October 22, 2012|Sam Thanapornsangsuth|SFSU-DAI department|http://www.hcdconnect.org/profiles/sam-thanapornsangsuth/|Puerto Maldonado, Madre de Dios, Peru|Community Development
276|A Few Practical Tips for Conducting Awesome HCD Research|IDEO.org Fellow Carla Lopez -recently back from three weeks of field research in India and Kenya with her d.light team - drops some wisdom (Sleep is important! Consider purchasing a good kurta!) on the practicalities of conducting great human-centered design research.|October 23, 2012|Carla Lopez|IDEO.org|http://www.hcdconnect.org/profiles/carla-lopez/|Palo Alto, CA|Community Development;Energy
277|Planning for our ASB|How might we design for students to be engaged in design and international development?|October 23, 2012|Milena Gonzalez|Stanford University|http://www.hcdconnect.org/profiles/1652790162/|Berkeley, CA|Education
278|If you combine all these little gotas, you can make an ola.|Carla Fjeld is exploring the involvement of small, local businesses in achieving food security in Nicaragua.|October 25, 2012|Jeannette Rowland|Fabretto Children's Foundation|http://www.hcdconnect.org/profiles/jeannette/|San Jos de Cusmapa, Madriz, Nicaragua|Health;Education;Agriculture
279|Increase access to higher education in Indonesia through online resources and community|Sarjana.co.id has been created to facilitate distribution of information on higher education admissions in order to reach youth across Indonesia and increase university enrollment and youth employability.|October 25, 2012|Setra Yappi|Fabretto Children's Foundation|http://www.hcdconnect.org/profiles/7964318/|Thimphu, Bhutan|Education
280|Tackling the Design Challenge|Our team meets in Fabretto's Somoto center to go over our design challenge before heading into the field in the north.|October 29, 2012|Jeannette Rowland|Fabretto Children's Foundation|http://www.hcdconnect.org/profiles/jeannette/|San Jos de Cusmapa, Madriz, Nicaragua|Education;Agriculture
281|Brainstorming on existing knowledge|Reflections during a brainstorm reveal why farming is hard and how general farmer-townspeople perceptions play into the mix.|October 29, 2012|Melissa Rohde|Stanford University|http://www.hcdconnect.org/profiles/melissa-rohde/|Palo Alto, CA|Water;Agriculture
282|A ROADMAP|The purpose of this blog is to outline the roadmap or strategy approach we developed to fit within our objectives and constraints. This roadmap is intended as a complement to prior (and future) blogs highlighting our experience applying individual HCD tools.|October 30, 2012|Nancy Zamierowski|Stanford University|http://www.hcdconnect.org/profiles/nancy-zamierowski/|Madre de Dios, Peru|Environment;Community Development;Agriculture
283|Lean Focus: Effectively Navigating Complexity|We share some tools utilized to effectively tackle an interdependent and complex system, while maintaining our focus and energy.|October 30, 2012|Michael Kuntz|Stanford University|http://www.hcdconnect.org/profiles/529016931/|Madre de Dios, Peru|Environment;Community Development;Agriculture
284|Kicking Off Our First IDEO.org Innovation Fund Project from Kenya|Danny Alexander and his IDEO.org team have arrived in Kenya to start our first Innovation Fund project, designing ways to leverage existing technologies and information streams to provide greater technical training for rural farmers.|October 31, 2012|Danny Alexander|IDEO.org|http://www.hcdconnect.org/profiles/danny/|Kenya|Agriculture
285|Open Source Meets Open Defecation|"Molly Norris and her IDEO.org team kick off a new project designing a ""crap map"" that adapts the Community Led Total Sanitation approach to the urban context. Her team is getting help along the way from some great project partners and two hackathons in the Bay Area."|November 01, 2012|Molly Norris|IDEO.org|http://www.hcdconnect.org/profiles/molly-norris/|San Francisco, CA|Water;Community Development
286|How do we make healthy, safe food accessible and convenient?|&#13;|November 01, 2012|HCD Oakland Food|IDEO.org|http://www.hcdconnect.org/profiles/hcd oakland food/|Oakland, CA|Environment;Community Development;Education;Health;Agriculture
287|Dharavi Diary - A Slum Innovation Project|The story of a community which is born in waste but won't let their life go to waste.|November 04, 2012|Nawneet Ranjan|IDEO.org|http://www.hcdconnect.org/profiles/nawneet-ranjan-0/|Vijayawada, Andhra Pradesh, India|Environment;Community Development;Health;Gender Equity;Energy;Education
288|Setting up a digitally-enhanced, community-based, revenue-generating library in Ghana|Librii is a digitally-enhanced, community-based, revenue-generating library in Ghana|November 05, 2012|Katie Plocheck|Librii and Rice Design Alliance|http://www.hcdconnect.org/profiles/katie-plocheck/|Gauteng, South Africa|Education
289|How Many Brainiacs Does It Take to Design a Crap Map?|Molly Norris reports from the first ever IDEO.org hackathon, where creative concepts sprung from the minds of over fifty people convened to fight poor sanitation neighborhood by neighborhood in Kumasi, Ghana.|November 05, 2012|Molly Norris|IDEO.org|http://www.hcdconnect.org/profiles/molly-norris/|San Francisco, CA|Water;Community Development
290|Designing  a Youth Voice Lab in Bhutan|Creating a dynamic space that inspires collaboration, creativity, and learning for Bhutanese youth.|November 06, 2012|Manny Fassihi|Bhutan Centre for Media and Democracy|http://www.hcdconnect.org/profiles/manny-fassihi/|Thimphu, Bhutan|Community Development;Education
291|Progress Report on the Lab's Development: #1|Updating the HCD Connect Community on the progress we've made towards establishing the lab.|November 07, 2012|Manny Fassihi|Bhutan Centre for Media and Democracy|http://www.hcdconnect.org/profiles/manny-fassihi/|Thimphu, Bhutan|Community Development;Education
292|Grab a Sharpie and Some Post-it's and Dive Right In.|On a very tight timeline as part of the IDEO.org Innovation Fund deep dive with Juhudi Kilimo, Danny Alexander explains his design team's approach to Hear research in Kenya.|November 08, 2012|Danny Alexander|IDEO.org|http://www.hcdconnect.org/profiles/danny/|Kenya|Agriculture
293|Getting Started: Healthy Food Access in West Oakland|We are a team of MBA students at Mills College using the HCD toolkit to design a way to improve access to healthy food in West Oakland.|November 08, 2012|Emily Adams|Mills College - Lorry I Lokey Graduate School of Business|http://www.hcdconnect.org/profiles/emily-adams/|Oakland, CA|Community Development;Education;Health;Agriculture
294|Expanding the healthcare system|The traditional Facility, and process of a healtcare organ is part of the problem of the healthcare system. Regardless of what medical situation takes us to a hospital, one absolute exists: no one wants to be there.|November 10, 2012|Nazlican Goksu|Mills College - Lorry I Lokey Graduate School of Business|http://www.hcdconnect.org/profiles/ngoksu/|Nepal|Health
295|Binder Search|Finding a suitable binder to make charcoal briquettes has been a long and tortuous path for us, but we have finally arrived at something promising, and learned a lot in the process about human-centered design as well.|November 10, 2012|Kevin Kung|Massachusetts Institute of Technology|http://www.hcdconnect.org/profiles/kevin-kung/|Rumuruti, Rift Valley, Kenya|Environment;Health;Energy;Agriculture
296|Creating systems for sharing healthier foods in West Oakland|Mills College MBA candidates look at how to connect West Oakland gardeners to neighbors to increase sharing of fresh food harvest.|November 11, 2012|Michelle Matos|Lorry I Lokey Graduate School of Business, Mills College|http://www.hcdconnect.org/profiles/michelle-matos/|West Oakland, Oakland, CA|Community Development;Agriculture
297|Farmers in central India: A socio-economic sketch|&#13;|November 11, 2012|Neeti Kailas|neetikailas.com|http://www.hcdconnect.org/profiles/neeti-kailas/|Kareli, Madhya Pradesh, India|Gender Equity;Agriculture
298|How can we get affordable and quality produce into liquor stores in East Oakland?|A team of MBA students from Mills College set-out to develop and apply innovative solutions to issues of food justice in East Oakland, California.|November 11, 2012|Sara Farooqi|neetikailas.com|http://www.hcdconnect.org/profiles/sara-farooqi/|Berkeley, CA|Environment;Agriculture;Health
299|Initial Popup Clinic Ideas and Inspirations|Some cool ideas and ispirations around popup clinics have been coming through via HCD Connect, Facebook, and email. Here are some of them. There'sone weekleft to this challenge and we still need more input. So please share your ideas and opinions!|November 13, 2012|Liz Ogbu|California College of the Arts - Center for Art and Public Life|http://www.hcdconnect.org/profiles/liz/|Los Angeles, CA|Health
300|Women in farming|Farming is not just employment. It is a lifestyle, a culture in itself that molds the lives of all members of the family. The family lives in a house on the farm land and every member has a part to play. There are distinct roles for the men and women.|November 14, 2012|Nitin Sisodia|Sohum Innovation lab/  Biodesign|http://www.hcdconnect.org/profiles/nitin-sisodia-0/|Kareli, Madhya Pradesh, India|Gender Equity;Agriculture
301|Brainstorming on existing knowledge - part 2|Key insights related to water scarcity and how farmers are adapting.|November 14, 2012|Melissa Rohde|Stanford University|http://www.hcdconnect.org/profiles/melissa-rohde/|Palo Alto, CA|Water;Environment;Agriculture
302|Another Hackathon Closer to a Cleaner Kumasi|IDEO.org's Molly Norris describes how the second #crapmap hackathon moved her design team closer to a working open-source digital protype designed to achieve community-led total sanitation in urban Ghana.|November 14, 2012|Molly Norris|IDEO.org|http://www.hcdconnect.org/profiles/molly-norris/|San Francisco, CA|Water;Community Development
303|Recruitment tools in action|We  can't wait to try out and experience the results of using HCD tools in  better understanding the people we serve - buyers. We have selected 4  HCD methods for our research based on what we felt was appropriate for  our needs. We want to find out what buyers' needs are in sourcing for  their fresh produce and how they decide where to source from. Knowing  this will allow us to build an appropriate technological platform that  hopefully will be used by agro-buyers.|November 15, 2012|Linda Kwamboka|MFarm Limited|http://www.hcdconnect.org/profiles/linda-kwamboka/|Ngong Road, Nairobi, Kenya|Agriculture
304|Pepper Shredder Gets a Redesign|The pepper shredder redesign embodies CTIs core philosophy of integrating the feedback from users of our devices (like farmers and women who process peppers) with the design expertise of our volunteer and staff engineers.|November 15, 2012|Anne-Marie Hendrickson|Compatible Technology International|http://www.hcdconnect.org/profiles/anne-marie-hendrickson/|Ethiopia|Agriculture
305|Building the Sustainability and Impact of a West Oakland Co-op|Oakland MBA students work to increase community awareness and support for a local co-op that strives to bring healthy foods to urban communities.|November 15, 2012|Anika Hardy|Oakland Unified School District|http://www.hcdconnect.org/profiles/anika-hardy/|Berkeley, CA|Health;Education;Agriculture
306|Nailing the Target Audience First|MBA students get started, learn that they need a target audience.|November 15, 2012|Dave Meader|Meader Consulting Group|http://www.hcdconnect.org/profiles/dave-meader/|Berkeley, CA|Community Development;Education
307|Building Empathy|In this story I ask farming communities what they aspire for themselves, their community, and for their children's future.|November 15, 2012|Melissa Rohde|Stanford University|http://www.hcdconnect.org/profiles/melissa-rohde/|Palo Alto, CA|Environment;Water;Agriculture;Community Development
308|HEAR: Phase Two - The Interviews|The next stage of our HEAR phase involved conducting individual interviews with a variety of experts and Oakland residents. Interviewees included a City Slicker Farms employee, an urban farmer, and a location consultant.|November 15, 2012|HCD Oakland Food|Stanford University|http://www.hcdconnect.org/profiles/hcd oakland food/|West Oakland, Oakland, CA|Environment;Community Development;Education;Agriculture
309|Progress Report on the Lab's Development: #2|&#13;|November 16, 2012|Manny Fassihi|Bhutan Centre for Media and Democracy|http://www.hcdconnect.org/profiles/manny-fassihi/|Thimphu, Bhutan|Community Development;Education
310|HEARing With An Open-Mind: Reflections From The Field|This week, we went out into the field to speak with five liquor store owners in East Oakland to gather on-the-ground insights on the to-sell or not-to-sell fresh produce conundrum.|November 17, 2012|Sara Farooqi|Bhutan Centre for Media and Democracy|http://www.hcdconnect.org/profiles/sara-farooqi/|Oakland, CA|Environment;Agriculture;Health;Community Development
311|Bridging the education gap.|Delivering education through the last mile.|November 18, 2012|Trevor Myers|SFSU Department of Design and Industry|http://www.hcdconnect.org/profiles/trevor-myers/|San Francisco, CA|Education
312|Key Interviews Yield New Discoveries in West Oakland|Our team set out to talk with community members and experts in the field related to food justice in West Oakland.|November 18, 2012|Vanita Williams|Mills College - Lorry I Lokey Graduate School of Business|http://www.hcdconnect.org/profiles/vanita-williams-0/|Oakland, CA|Environment;Community Development;Agriculture
313|Suiting Up with Year Up|Year Up is a truly phenomenal Bay Area nonprofit working to provide urban young adults with skills, experience and support that will empower them going forward in their lives. IDEO.org Fellow Cris Valerio describes her first week as part of the team tackling our newest Innovation Fund project.|November 19, 2012|Cris Valerio|IDEO.org|http://www.hcdconnect.org/profiles/cris-valerio/|Berkeley, CA|Community Development;Education
314|Community Micro Lending Seminar|A community gathering to discuss loan agreements, interest rates, and group lending.|November 19, 2012|Jacqui Watts|Uganda Rural Community Service Foundation (URCSF)|http://www.hcdconnect.org/profiles/jacqui-watts/|Rakai, Central Region, Uganda|Community Development;Agriculture;Financial Services
315|Wrapping up the CREATE phase, introducing our prototype|After using the POINT method to analyze the information gathered from our interviews, we began the process of prototyping!|November 23, 2012|Michelle Peterson|Uganda Rural Community Service Foundation (URCSF)|http://www.hcdconnect.org/profiles/michelle-peterson/|Oakland, CA|Community Development;Education;Health;Agriculture
316|Returns for farmers with timing and place of sell|One of the most critical links in the value chain of the agricultural cycle from the farmers perspective isthe timing of sale and place of selling the produce.|November 25, 2012|Nitin Sisodia|Sohum Innovation lab/  Biodesign|http://www.hcdconnect.org/profiles/nitin-sisodia-0/|Mumbai, Maharashtra, India|Agriculture;Financial Services
317|A (mostly) Photo Update from the #crapmap Project in Kumasi, Ghana|IDEO.org Fellow John Won provides a brief update and a dozen fabulous photos from the field in Kumasi, Ghana where the team is working with the local community to prototype the #crapmap mobile platform.|November 25, 2012|John Won|Sohum Innovation lab/  Biodesign|http://www.hcdconnect.org/profiles/johnwon/|San Francisco, CA|Water;Community Development
318|Creating our Model and our First Prototype|Where the rubber hits the road: Creating a model to deliver our prototype.|November 25, 2012|Michelle Matos|Lorry I Lokey Graduate School of Business, Mills College|http://www.hcdconnect.org/profiles/michelle-matos/|Oakland, CA|Community Development;Agriculture
319|Si comemos bien, podemos ir feliz a clase.|&#13;|November 26, 2012|Jeannette Rowland|Fabretto Children's Foundation|http://www.hcdconnect.org/profiles/jeannette/|San Jos de Cusmapa, Madriz, Nicaragua|Health;Education;Agriculture
320|Vietnam Social Work Network|Network for social workers in Vietnam|November 26, 2012|Kham Tran|Fabretto Children's Foundation|http://www.hcdconnect.org/profiles/kham-tran/|Bangladesh|Community Development
321|Lazos Por Colombia|peace and reconciliation process to delete violence from the imaginary of kids that suffer it by giving second opportunites to the main characters of violent acts.|November 27, 2012|Marcela Fernandez|Fabretto Children's Foundation|http://www.hcdconnect.org/profiles/marcela-fernandez/|Sao Paulo - So Paulo, Brazil|Community Development;Education
322|The Impact of Water on Girls' Formal Education: A Study of Kenyan Secondary Schools|Access to water and adequate sanitation impacts students' educational attainment, especially women and girls.|November 27, 2012|Jennifer Emick|Rooted in Hope|http://www.hcdconnect.org/profiles/jenny-emick/|Gauteng, South Africa|Water;Gender Equity;Education;Health
323|CREATE|In our create phase we synthesized information from:|November 27, 2012|HCD Oakland Food|Rooted in Hope|http://www.hcdconnect.org/profiles/hcd oakland food/|West Oakland, Oakland, CA|Environment;Agriculture;Education;Health;Community Development
324|DELIVER: Streamlining Data Management|Our initial prototype is based on the fact that City Slicker Farms uses Salesforce.com for their data reports. For inexpensive, more efficient data collection and upload to Salesforce, we recommend bypassing paper and entering data directly into a portable notebook.|November 27, 2012|HCD Oakland Food|Rooted in Hope|http://www.hcdconnect.org/profiles/hcd oakland food/|West Oakland, Oakland, CA|Environment;Community Development;Education;Health;Agriculture
325|HEAR: Listening to West Oakland Food Stories|Challenges to healthy food access, as described and documented by a resident of West Oakland.|November 27, 2012|Emily Adams|Mills College - Lorry I Lokey Graduate School of Business|http://www.hcdconnect.org/profiles/emily-adams/|Oakland, CA|Community Development;Health;Agriculture
326|Crafting Instruments for Individual Interviews and Group Interviews|&#13;|November 28, 2012|Linda Kwamboka|MFarm Limited|http://www.hcdconnect.org/profiles/linda-kwamboka/|Ngong Road, Nairobi, Kenya|Agriculture
327|Co - creation with physically challenged in Kisumu, Kenya|Can we develop new hand tricycle concepts and business models for disabled entrepreneurs in Kisumu, Kenya in 10 days?|November 30, 2012|Jeroen Spoelstra|Amsterdam University of Applied Sciences|http://www.hcdconnect.org/profiles/581782559/|Haarlem, The Netherlands|Community Development;Health
328|On the Professional Elegance of Not Becoming Too Attached to an Idea|IDEO.org' Carla Lopez, back from Kenya with herJuhudi Kilimo team, writes on the challenge that is...SYNTHESIS.|November 30, 2012|Carla Lopez|IDEO.org|http://www.hcdconnect.org/profiles/carla-lopez/|Kenya|Agriculture
329|Time to Deliver|&#13;|November 30, 2012|Michelle Peterson|IDEO.org|http://www.hcdconnect.org/profiles/michelle-peterson/|Oakland, CA|Community Development;Agriculture
330|Appreciating Food from Inside the Kitchen|Nicaraguas resident nutrition advocate shares her insights on food security and ways to work within Nicaraguan culture to change nutrition practices.|November 30, 2012|Jeannette Rowland|Fabretto Children's Foundation|http://www.hcdconnect.org/profiles/jeannette/|San Jos de Cusmapa, Madriz, Nicaragua|Education;Agriculture
331|Returns for farmers with timing and place of sale|One of the most critical links in the value chain of the agricultural cycle from the farmers perspective isthe time and place of selling the produce.|December 01, 2012|Hitesh Ahuja|Fabretto Children's Foundation|http://www.hcdconnect.org/profiles/hitesh-ahuja-0/|Mumbai, Maharashtra, India|Education;Agriculture;Financial Services
332|Returns for farmers with timing and place of sale|&#13;|December 01, 2012|Hitesh Ahuja|Fabretto Children's Foundation|http://www.hcdconnect.org/profiles/hitesh-ahuja-0/|Kareli, Madhya Pradesh, India|Education;Agriculture;Financial Services
333|YOUTH GOING GREEN INITIATIVE - NAKURU KENYA|&#13;|December 02, 2012|Edward Shepherd|NETWORK FOR POSITIVE IMPACT (NFPI)|http://www.hcdconnect.org/profiles/edward-shepherd/|Gauteng, South Africa|Water;Environment;Health;Community Development;Education;Agriculture
334|The manufacturing dilemma|Its a delicate line we must balance: produce a Pepper Shredder in Ethiopia that is affordable for enterprises in impoverished communities, but still sturdy and reliable enough to have a lasting impact.|December 03, 2012|Meghan Fleckenstein|NETWORK FOR POSITIVE IMPACT (NFPI)|http://www.hcdconnect.org/profiles/meghan-fleckenstein/|Ethiopia|Agriculture
335|Creating a Space for Accessible Education: Designing the ZAYA Experience|Designing a new experience, environment , and packaging for the ZAYA learning center which uses Drop-Box like technology to deliver education at a low cost.|December 05, 2012|Stephanie Tang|NETWORK FOR POSITIVE IMPACT (NFPI)|http://www.hcdconnect.org/profiles/stephanie-tang-0/|Berkeley, CA|Community Development;Education
336|College Health and Eating Habits|Investigation of student food and exercise behaviors to find solutions for improved campus health.|December 05, 2012|Stephanie Tang|NETWORK FOR POSITIVE IMPACT (NFPI)|http://www.hcdconnect.org/profiles/stephanie-tang-0/|Berkeley, CA|Education;Health
337|Putting computers and internet in remote Aboriginal Communities|Aims to improve the lives of people living in remote Australian Indigenous communities by providing access to:|December 05, 2012|James Goldsmith|NETWORK FOR POSITIVE IMPACT (NFPI)|http://www.hcdconnect.org/profiles/james-goldsmith/|Solomon Islands|Community Development;Education
